   ID   PROVIDER            MODULE                          FUNCTION NAME
 1451    sysinfo            msgsys                            msgsnd msg
 1452    sysinfo            msgsys                            msgrcv msg
 1911    sysinfo              unix                         xc_common xcalls
 1918    sysinfo              unix                      rwnuma_enter rw_rdfails
 1919    sysinfo              unix                     rwnuma_rdlock rw_rdfails
 1920    sysinfo              unix                    rw_enter_sleep rw_rdfails
 1931    sysinfo              unix                          swtch_to pswitch
 1932    sysinfo              unix                 swtch_from_zombie pswitch
 1933    sysinfo              unix                             swtch pswitch
 1935    sysinfo              unix                mutex_vector_enter mutex_adenters
 1958    sysinfo              unix                      rwnuma_enter rw_wrfails
 1959    sysinfo              unix                     rwnuma_wrlock rw_wrfails
 1960    sysinfo              unix                    rw_enter_sleep rw_wrfails
 1962    sysinfo              unix                              trap trap
 1975    sysinfo              unix                   disp_idle_enter idlethread
 2003    sysinfo              unix                             swtch intrblk
 2011    sysinfo              unix                           preempt inv_swtch
 2035    sysinfo           genunix                     bwrite_common bawrite
 2042    sysinfo           genunix                             cfork sysfork
 2043    sysinfo           genunix                       exec_common sysexec
 2044    sysinfo           genunix                         dosyscall syscall
 2045    sysinfo           genunix                           pread64 sysread
 2046    sysinfo           genunix                             readv sysread
 2047    sysinfo           genunix                             pread sysread
 2048    sysinfo           genunix                              read sysread
 2050    sysinfo           genunix                          pwrite64 syswrite
 2051    sysinfo           genunix                            writev syswrite
 2052    sysinfo           genunix                            pwrite syswrite
 2053    sysinfo           genunix                             write syswrite
 2055    sysinfo           genunix                             cfork sysvfork
 2081    sysinfo           genunix                mod_remove_by_name modunload
 2082    sysinfo           genunix                 mod_uninstall_all modunload
 2083    sysinfo           genunix                        modunrload modunload
 2195    sysinfo           genunix                          pwrite64 writech
 2196    sysinfo           genunix                            writev writech
 2197    sysinfo           genunix                            pwrite writech
 2198    sysinfo           genunix                             write writech
 2286    sysinfo           genunix                          modrload modload
 2287    sysinfo           genunix                    modctl_modload modload
 2329    sysinfo           genunix               thread_create_named nthreads
 2357    sysinfo           genunix                           pread64 readch
 2358    sysinfo           genunix                             readv readch
 2359    sysinfo           genunix                             pread readch
 2360    sysinfo           genunix                              read readch
 2361    sysinfo           genunix                       drv_setparm rcvint
 2376    sysinfo           genunix                       drv_setparm xmtint
 2383    sysinfo           genunix                       drv_setparm mdmint
 2384    sysinfo           genunix                           bdwrite lwrite
 2385    sysinfo           genunix                     bwrite_common lwrite
 2400    sysinfo           genunix                default_physio_old phread
 2401    sysinfo           genunix                    default_physio phread
 2402    sysinfo           genunix                           aphysio phread
 2409    sysinfo           genunix                     bwrite_common bwrite
 2438    sysinfo           genunix                       drv_setparm rawch
 2440    sysinfo           genunix                            breada lread
 2441    sysinfo           genunix                      bread_common lread
 2442    sysinfo           genunix                        lookuppnvp namei
 2445    sysinfo           genunix                       drv_setparm outch
 2446    sysinfo           genunix                       drv_setparm canch
 2447    sysinfo           genunix                            breada bread
 2448    sysinfo           genunix                      bread_common bread
 2449    sysinfo           genunix                default_physio_old phwrite
 2450    sysinfo           genunix                    default_physio phwrite
 2451    sysinfo           genunix                           aphysio phwrite
 2481    sysinfo           genunix                           getproc procovf
 4422    sysinfo               ufs                          blkatoff ufsdirblk
 4423    sysinfo               ufs                     ufs_idle_free ufsinopage
 4424    sysinfo               ufs                 ufs_iget_internal ufsiget
 4425    sysinfo               ufs                     ufs_idle_free ufsipage
