   ID   PROVIDER            MODULE                          FUNCTION NAME
 4422    sysinfo               ufs                          blkatoff ufsdirblk
 4423    sysinfo               ufs                     ufs_idle_free ufsinopage
 4424    sysinfo               ufs                 ufs_iget_internal ufsiget
 4425    sysinfo               ufs                     ufs_idle_free ufsipage
 4426        sdt               ufs                     lufs_hd_genid head_ident_collision
88057        fbt               ufs                  ufs_out_of_space entry
88058        fbt               ufs                  ufs_out_of_space return
88059        fbt               ufs                           alloccg entry
88060        fbt               ufs                           alloccg return
88061        fbt               ufs                         hashalloc entry
88062        fbt               ufs                         hashalloc return
88063        fbt               ufs                        fragextend entry
88064        fbt               ufs                        fragextend return
88065        fbt               ufs                          ialloccg entry
88066        fbt               ufs                          ialloccg return
88067        fbt               ufs                         mapsearch entry
88068        fbt               ufs                         mapsearch return
88069        fbt               ufs                        alloccgblk entry
88070        fbt               ufs                        alloccgblk return
88071        fbt               ufs                   allocsp_wlockfs entry
88072        fbt               ufs                   allocsp_wlockfs return
88073        fbt               ufs                  allocsp_unlockfs entry
88074        fbt               ufs                  allocsp_unlockfs return
88075        fbt               ufs                    findlogstartcg entry
88076        fbt               ufs                    findlogstartcg return
88077        fbt               ufs                        findextent entry
88078        fbt               ufs                        findextent return
88079        fbt               ufs               ufs_undo_allocation entry
88080        fbt               ufs               ufs_undo_allocation return
88081        fbt               ufs                        dirmangled entry
88082        fbt               ufs                        dirmangled return
88083        fbt               ufs                   ufs_diraddentry entry
88084        fbt               ufs                   ufs_diraddentry return
88085        fbt               ufs                     ufs_dirrename entry
88086        fbt               ufs                     ufs_dirrename return
88087        fbt               ufs                      ufs_dirempty entry
88088        fbt               ufs                      ufs_dirempty return
88089        fbt               ufs                  ufs_dirfixdotdot entry
88090        fbt               ufs                  ufs_dirfixdotdot return
88091        fbt               ufs                            dirbad entry
88092        fbt               ufs                            dirbad return
88093        fbt               ufs                   dirprepareentry entry
88094        fbt               ufs                   dirprepareentry return
88095        fbt               ufs                 ufs_dirmakedirect entry
88096        fbt               ufs                 ufs_dirmakedirect return
88097        fbt               ufs                ufs_dirpurgedotdot entry
88098        fbt               ufs                ufs_dirpurgedotdot return
88099        fbt               ufs                        dirbadname entry
88100        fbt               ufs                        dirbadname return
88101        fbt               ufs                       ufs_dirscan entry
88102        fbt               ufs                       ufs_dirscan return
88103        fbt               ufs                  ufs_dirclrdotdot entry
88104        fbt               ufs                  ufs_dirclrdotdot return
88105        fbt               ufs            ufs_inode_kstat_update entry
88106        fbt               ufs            ufs_inode_kstat_update return
88107        fbt               ufs                            ihinit entry
88108        fbt               ufs                            ihinit return
88109        fbt               ufs       ufs_inode_cache_constructor entry
88110        fbt               ufs       ufs_inode_cache_constructor return
88111        fbt               ufs        ufs_inode_cache_destructor entry
88112        fbt               ufs        ufs_inode_cache_destructor return
88113        fbt               ufs                 ufs_iget_internal entry
88114        fbt               ufs                 ufs_iget_internal return
88115        fbt               ufs                        indirtrunc entry
88116        fbt               ufs                        indirtrunc return
88117        fbt               ufs              ufs_funmount_cleanup entry
88118        fbt               ufs              ufs_funmount_cleanup return
88119        fbt               ufs                     still_mounted entry
88120        fbt               ufs                     still_mounted return
88121        fbt               ufs                        ufs_icheck entry
88122        fbt               ufs                        ufs_icheck return
88123        fbt               ufs                  ufs_construct_si entry
88124        fbt               ufs                  ufs_construct_si return
88125        fbt               ufs                         ufs_mount entry
88126        fbt               ufs                         ufs_mount return
88127        fbt               ufs                           mountfs entry
88128        fbt               ufs                           mountfs return
88129        fbt               ufs                     ufs_mountroot entry
88130        fbt               ufs                     ufs_mountroot return
88131        fbt               ufs                         remountfs entry
88132        fbt               ufs                         remountfs return
88133        fbt               ufs                       validate_sb entry
88134        fbt               ufs                       validate_sb return
88135        fbt               ufs                       ufs_unmount entry
88136        fbt               ufs                       ufs_unmount return
88137        fbt               ufs                          ufs_root entry
88138        fbt               ufs                          ufs_root return
88139        fbt               ufs                       ufs_statvfs entry
88140        fbt               ufs                       ufs_statvfs return
88141        fbt               ufs                          ufs_sync entry
88142        fbt               ufs                          ufs_sync return
88143        fbt               ufs                          ufs_vget entry
88144        fbt               ufs                          ufs_vget return
88145        fbt               ufs                           ufsinit entry
88146        fbt               ufs                           ufsinit return
88147        fbt               ufs                          ufs_open entry
88148        fbt               ufs                          ufs_open return
88149        fbt               ufs                         ufs_close entry
88150        fbt               ufs                         ufs_close return
88151        fbt               ufs                      ufs_putpages entry
88152        fbt               ufs                      ufs_putpages return
88153        fbt               ufs                          ufs_read entry
88154        fbt               ufs                          ufs_read return
88155        fbt               ufs                 ufs_check_rewrite entry
88156        fbt               ufs                 ufs_check_rewrite return
88157        fbt               ufs                         ufs_write entry
88158        fbt               ufs                         ufs_write return
88159        fbt               ufs                         ufs_ioctl entry
88160        fbt               ufs                         ufs_ioctl return
88161        fbt               ufs                       ufs_getattr entry
88162        fbt               ufs                       ufs_getattr return
88163        fbt               ufs                   ufs_priv_access entry
88164        fbt               ufs                   ufs_priv_access return
88165        fbt               ufs                       ufs_setattr entry
88166        fbt               ufs                       ufs_setattr return
88167        fbt               ufs                        ufs_access entry
88168        fbt               ufs                        ufs_access return
88169        fbt               ufs                      ufs_readlink entry
88170        fbt               ufs                      ufs_readlink return
88171        fbt               ufs                         ufs_fsync entry
88172        fbt               ufs                         ufs_fsync return
88173        fbt               ufs                      ufs_inactive entry
88174        fbt               ufs                      ufs_inactive return
88175        fbt               ufs                        ufs_lookup entry
88176        fbt               ufs                        ufs_lookup return
88177        fbt               ufs                        ufs_create entry
88178        fbt               ufs                        ufs_create return
88179        fbt               ufs                        ufs_remove entry
88180        fbt               ufs                        ufs_remove return
88181        fbt               ufs                   ufs_eventlookup entry
88182        fbt               ufs                   ufs_eventlookup return
88183        fbt               ufs                          ufs_link entry
88184        fbt               ufs                          ufs_link return
88185        fbt               ufs               ufs_rename_unlockfs entry
88186        fbt               ufs               ufs_rename_unlockfs return
88187        fbt               ufs               ufs_rename_tryenter entry
88188        fbt               ufs               ufs_rename_tryenter return
88189        fbt               ufs                 ufs_rename_lockfs entry
88190        fbt               ufs                 ufs_rename_lockfs return
88191        fbt               ufs                        ufs_rename entry
88192        fbt               ufs                        ufs_rename return
88193        fbt               ufs                         ufs_mkdir entry
88194        fbt               ufs                         ufs_mkdir return
88195        fbt               ufs                         ufs_rmdir entry
88196        fbt               ufs                         ufs_rmdir return
88197        fbt               ufs                       ufs_readdir entry
88198        fbt               ufs                       ufs_readdir return
88199        fbt               ufs                       ufs_symlink entry
88200        fbt               ufs                       ufs_symlink return
88201        fbt               ufs                           ufs_fid entry
88202        fbt               ufs                           ufs_fid return
88203        fbt               ufs                        ufs_rwlock entry
88204        fbt               ufs                        ufs_rwlock return
88205        fbt               ufs                      ufs_rwunlock entry
88206        fbt               ufs                      ufs_rwunlock return
88207        fbt               ufs                          ufs_seek entry
88208        fbt               ufs                          ufs_seek return
88209        fbt               ufs                        ufs_frlock entry
88210        fbt               ufs                        ufs_frlock return
88211        fbt               ufs                         ufs_space entry
88212        fbt               ufs                         ufs_space return
88213        fbt               ufs                       ufs_getpage entry
88214        fbt               ufs                       ufs_getpage return
88215        fbt               ufs                    ufs_getpage_ra entry
88216        fbt               ufs                    ufs_getpage_ra return
88217        fbt               ufs                  ufs_getpage_miss entry
88218        fbt               ufs                  ufs_getpage_miss return
88219        fbt               ufs                       ufs_putpage entry
88220        fbt               ufs                       ufs_putpage return
88221        fbt               ufs                        ufs_iodone entry
88222        fbt               ufs                        ufs_iodone return
88223        fbt               ufs                           ufs_map entry
88224        fbt               ufs                           ufs_map return
88225        fbt               ufs                        ufs_addmap entry
88226        fbt               ufs                        ufs_addmap return
88227        fbt               ufs                        ufs_delmap entry
88228        fbt               ufs                        ufs_delmap return
88229        fbt               ufs                          ufs_poll entry
88230        fbt               ufs                          ufs_poll return
88231        fbt               ufs                    ufs_l_pathconf entry
88232        fbt               ufs                    ufs_l_pathconf return
88233        fbt               ufs                        ufs_pageio entry
88234        fbt               ufs                        ufs_pageio return
88235        fbt               ufs                          ufs_dump entry
88236        fbt               ufs                          ufs_dump return
88237        fbt               ufs                       ufs_dumpctl entry
88238        fbt               ufs                       ufs_dumpctl return
88239        fbt               ufs                        save_dblks entry
88240        fbt               ufs                        save_dblks return
88241        fbt               ufs                    ufs_getsecattr entry
88242        fbt               ufs                    ufs_getsecattr return
88243        fbt               ufs                    ufs_setsecattr entry
88244        fbt               ufs                    ufs_setsecattr return
88245        fbt               ufs                          getquota entry
88246        fbt               ufs                          getquota return
88247        fbt               ufs                          setquota entry
88248        fbt               ufs                          setquota return
88249        fbt               ufs                            opendq entry
88250        fbt               ufs                            opendq return
88251        fbt               ufs                 opendq_scan_inode entry
88252        fbt               ufs                 opendq_scan_inode return
88253        fbt               ufs                         quotasync entry
88254        fbt               ufs                         quotasync return
88255        fbt               ufs                closedq_scan_inode entry
88256        fbt               ufs                closedq_scan_inode return
88257        fbt               ufs               setquota_scan_inode entry
88258        fbt               ufs               setquota_scan_inode return
88259        fbt               ufs                        ufs_getlfd entry
88260        fbt               ufs                        ufs_getlfd return
88261        fbt               ufs                    ufs_thaw_wlock entry
88262        fbt               ufs                    ufs_thaw_wlock return
88263        fbt               ufs                    ufs_thaw_hlock entry
88264        fbt               ufs                    ufs_thaw_hlock return
88265        fbt               ufs               ufs_reconcile_inode entry
88266        fbt               ufs               ufs_reconcile_inode return
88267        fbt               ufs                     ufs_reconcile entry
88268        fbt               ufs                     ufs_reconcile return
88269        fbt               ufs     ufs_lockfs_is_under_rawlockfs entry
88270        fbt               ufs     ufs_lockfs_is_under_rawlockfs return
88271        fbt               ufs         ufs_lockfs_top_vop_return entry
88272        fbt               ufs         ufs_lockfs_top_vop_return return
88273        fbt               ufs                    ufs_attr_purge entry
88274        fbt               ufs                    ufs_attr_purge return
88275        fbt               ufs                     ufs_idle_free entry
88276        fbt               ufs                     ufs_idle_free return
88277        fbt               ufs                       ufs_log_amt entry
88278        fbt               ufs                       ufs_log_amt return
88279        fbt               ufs                      ufs_si_store entry
88280        fbt               ufs                      ufs_si_store return
88281        fbt               ufs                   ufs_si_free_mem entry
88282        fbt               ufs                   ufs_si_free_mem return
88283        fbt               ufs                     si_cachea_get entry
88284        fbt               ufs                     si_cachea_get return
88285        fbt               ufs                      ufs_sectobuf entry
88286        fbt               ufs                      ufs_sectobuf return
88287        fbt               ufs                      si_cache_put entry
88288        fbt               ufs                      si_cache_put return
88289        fbt               ufs                     si_cachei_get entry
88290        fbt               ufs                     si_cachei_get return
88291        fbt               ufs                      acl_validate entry
88292        fbt               ufs                      acl_validate return
88293        fbt               ufs                 vsecattr2aclentry entry
88294        fbt               ufs                 vsecattr2aclentry return
88295        fbt               ufs                 aclentry2vsecattr entry
88296        fbt               ufs                 aclentry2vsecattr return
88297        fbt               ufs                           formacl entry
88298        fbt               ufs                           formacl return
88299        fbt               ufs                         acl_count entry
88300        fbt               ufs                         acl_count return
88301        fbt               ufs                          acl_free entry
88302        fbt               ufs                          acl_free return
88303        fbt               ufs                        ufs_acl_cp entry
88304        fbt               ufs                        ufs_acl_cp return
88305        fbt               ufs                      si_signature entry
88306        fbt               ufs                      si_signature return
88307        fbt               ufs                            si_cmp entry
88308        fbt               ufs                            si_cmp return
88309        fbt               ufs                          aclcksum entry
88310        fbt               ufs                          aclcksum return
88311        fbt               ufs                            aclcmp entry
88312        fbt               ufs                            aclcmp return
88313        fbt               ufs                       ufs_fault_v entry
88314        fbt               ufs                       ufs_fault_v return
88315        fbt               ufs                            triage entry
88316        fbt               ufs                            triage return
88317        fbt               ufs         ufsfx_thread_fix_failures entry
88318        fbt               ufs                      init_failure entry
88319        fbt               ufs                      init_failure return
88320        fbt               ufs                      real_panic_v entry
88321        fbt               ufs                      real_panic_v return
88322        fbt               ufs                     queue_failure entry
88323        fbt               ufs                     queue_failure return
88324        fbt               ufs                         set_state entry
88325        fbt               ufs                         set_state return
88326        fbt               ufs                        real_panic entry
88327        fbt               ufs                        real_panic return
88328        fbt               ufs                    terminal_state entry
88329        fbt               ufs                    terminal_state return
88330        fbt               ufs                           fs_name entry
88331        fbt               ufs                           fs_name return
88332        fbt               ufs                ufsfx_do_failure_q entry
88333        fbt               ufs                ufsfx_do_failure_q return
88334        fbt               ufs                    get_state_desc entry
88335        fbt               ufs                    get_state_desc return
88336        fbt               ufs                        pester_msg entry
88337        fbt               ufs                        pester_msg return
88338        fbt               ufs             trylock_time_exceeded entry
88339        fbt               ufs             trylock_time_exceeded return
88340        fbt               ufs                 get_lockfs_status entry
88341        fbt               ufs                 get_lockfs_status return
88342        fbt               ufs                 state_trans_valid entry
88343        fbt               ufs                 state_trans_valid return
